               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.053075,            0.045089,                   0,             0.58346,            0.036364,             0.03591,           0.0069131,            0.079367,            0.040157,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.054976,            0.048352,                   0,              0.6356,            0.036364,            0.038358,             0.01668,            0.073638,            0.043156,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.055139,            0.042215,                   0,             0.28563,            0.072727,            0.072787,             0.02141,            0.069921,            0.040218,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.054074,            0.045264,                   0,            0.041757,                 0.2,            0.024079,           0.0090567,            0.069477,             0.12778,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.050571,            0.044969,                   0,             0.11452,             0.10909,            0.052725,           0.0090768,            0.072439,             0.04998,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.053327,            0.043468,                   0,            0.010435,            0.018182,           0.0025586,          0.00058963,            0.093845,            0.087086,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.05351,            0.044756,                   0,            0.013416,            0.018182,           0.0036135,           0.0010912,            0.085777,             0.12444,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.051162,            0.048623,                   0,             0.10324,            0.036364,            0.020636,           0.0047317,             0.07726,            0.049316,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.052291,            0.046362,                   0,           0.0052381,                 0.4,            0.010512,             0.00213,            0.085913,            0.036606,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.050791,            0.043353,                   0,           0.0045238,             0.34545,           0.0038661,           0.0011586,            0.094235,            0.031616,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.047822,            0.040807,                   0,            0.038753,            0.018182,           0.0029801,          0.00064303,             0.09943,            0.032162,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.052044,            0.044782,                   0,            0.016674,            0.036364,           0.0033117,          0.00067416,            0.087186,            0.047951,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.049404,            0.043405,                   0,            0.012562,            0.072727,           0.0031319,          0.00078292,            0.087723,            0.058876,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.046394,            0.040253,                   0,            0.012016,             0.10909,            0.004159,           0.0010863,            0.092577,            0.076591,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.048008,            0.039936,                   0,           0.0017741,            0.018182,          0.00071762,          0.00019159,            0.099082,             0.12222,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.045882,            0.038622,                   0,            0.002381,             0.18182,           0.0014799,          0.00029017,             0.09869,             0.13828,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.046906,            0.039503,                   0,           0.0020605,             0.14545,           0.0011578,          0.00025411,             0.10541,             0.13716,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.048871,            0.039072,                   0,           0.0019048,             0.14545,           0.0010952,          0.00028124,             0.10871,              0.2321,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.04595,            0.039084,                   0,           0.0040273,            0.018182,           0.0018256,          0.00043128,             0.09473,             0.17588,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.046343,            0.038477,                   0,             0.01033,            0.072727,           0.0023138,          0.00051212,            0.095238,             0.11078,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.044185,            0.036336,                   0,           0.0035846,             0.10909,           0.0017772,          0.00046793,             0.10222,             0.26625,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.043657,            0.038421,                   0,            0.017836,             0.14545,           0.0073067,           0.0021129,            0.072023,            0.065235,                   0,            0.007294,            0.007294,            0.007294
                  84,             0.04319,            0.035102,                   0,           0.0042857,             0.32727,           0.0033068,          0.00070045,            0.084776,              0.0741,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.044941,            0.037915,                   0,            0.042536,                 0.2,             0.02544,           0.0091884,            0.065191,             0.09251,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.043331,            0.038746,                   0,            0.053601,             0.21818,            0.030866,           0.0069236,             0.07137,            0.079758,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.044348,            0.033657,                   0,             0.19694,             0.43636,             0.20082,            0.065617,            0.056168,            0.044048,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.042243,            0.036751,                   0,            0.019706,             0.21818,           0.0097199,           0.0020566,            0.096672,            0.041447,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.043743,            0.034917,                   0,            0.046947,            0.072727,             0.01124,           0.0022396,            0.074292,            0.055958,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.045073,             0.03617,                   0,             0.30638,            0.036364,            0.035765,           0.0099138,            0.073868,            0.044693,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.042611,            0.034049,                   0,           0.0044251,             0.10909,           0.0017742,          0.00035619,            0.088484,            0.058388,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.042193,             0.03655,                   0,             0.10716,             0.10909,            0.032151,           0.0097672,            0.064262,            0.058514,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.041865,            0.034451,                   0,             0.16612,             0.10909,            0.084251,             0.03449,            0.067939,            0.041618,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.04417,            0.038761,                   0,             0.03033,            0.054545,           0.0061736,            0.001612,             0.08062,              0.1025,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.040659,            0.033517,                   0,             0.77593,             0.44083,             0.58356,             0.22142,            0.051016,            0.033203,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.040949,            0.034742,                   0,             0.73843,             0.30802,             0.32977,            0.097771,            0.058023,            0.041428,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.040836,            0.035623,                   0,              0.4505,             0.18182,             0.14522,            0.038194,            0.065576,            0.037373,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.040514,            0.033702,                   0,             0.21125,            0.018182,            0.035589,            0.012338,            0.066394,            0.049862,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.040689,             0.02983,                   0,             0.88521,                 0.8,             0.88446,             0.38694,            0.040811,            0.025263,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.038689,            0.031666,                   0,            0.062154,            0.033815,            0.018008,           0.0079614,            0.083359,            0.041264,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.040326,            0.037355,                   0,          0.00071429,            0.054545,          0.00038167,           7.539e-05,            0.087722,            0.043987,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.040822,            0.031973,                   0,           0.0014286,             0.10909,          0.00085004,          0.00016297,            0.085576,            0.042957,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.040116,            0.033067,                   0,            0.005226,             0.36364,           0.0062533,           0.0015465,            0.081587,            0.044891,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.039085,             0.03152,                   0,             0.40172,            0.018182,            0.017189,           0.0050648,            0.083702,            0.046535,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.039557,            0.031733,                   0,             0.19915,             0.21818,             0.16757,            0.057293,            0.059013,            0.045647,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.039159,            0.033504,                   0,             0.18084,            0.072727,            0.028976,           0.0050054,            0.076824,            0.048756,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.039286,            0.032288,                   0,             0.65132,             0.64538,             0.65378,             0.27288,            0.045182,            0.030952,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.037181,            0.031865,                   0,            0.002619,                 0.2,           0.0018278,          0.00028594,            0.080156,            0.045139,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.03658,            0.031695,                   0,             0.78973,                 0.6,              0.7088,             0.26767,            0.050041,            0.028912,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.037506,            0.032447,                   0,             0.74686,             0.53655,             0.57377,             0.21005,            0.052576,            0.036362,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.036316,            0.031859,                   0,              0.6917,             0.70909,             0.72299,             0.28459,             0.04513,            0.030186,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.038521,            0.033859,                   0,             0.92231,             0.81818,               0.866,             0.44871,             0.03906,            0.024628,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.036007,            0.033164,                   0,             0.85746,             0.50909,             0.65738,             0.27416,            0.050989,            0.028625,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.035891,            0.030737,                   0,            0.006135,             0.23636,            0.007099,           0.0026876,            0.063167,            0.059532,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.035035,            0.032374,                   0,             0.90888,             0.90909,             0.92392,             0.48338,            0.035664,            0.021776,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.036478,            0.030948,                   0,             0.86759,             0.52727,             0.62029,             0.27914,            0.048211,            0.029074,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.035224,            0.032912,                   0,              0.8798,             0.66551,             0.74803,             0.38537,            0.041283,            0.027723,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.035889,            0.030401,                   0,             0.73937,             0.32727,             0.40086,             0.14747,            0.054197,            0.041664,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.034528,            0.031555,                   0,             0.90823,             0.70909,             0.81348,             0.44676,               0.038,            0.023876,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.037891,            0.027847,                   0,             0.61412,             0.41818,             0.41434,             0.11761,            0.060876,            0.031219,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.034214,            0.030094,                   0,             0.73647,             0.78182,             0.77549,             0.33098,            0.041064,              0.0273,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.034061,            0.033077,                   0,             0.81393,             0.50909,             0.59295,             0.23421,            0.048768,            0.032795,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.032852,            0.029788,                   0,             0.84073,             0.47273,             0.52895,             0.16239,            0.055143,            0.036362,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.035844,            0.030649,                   0,             0.89214,             0.90243,             0.90633,             0.42303,              0.0368,            0.021538,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.035275,            0.031698,                   0,             0.69674,             0.75197,             0.73031,             0.27603,             0.04723,            0.027514,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.035479,            0.029551,                   0,             0.89615,             0.72727,             0.81933,             0.33661,            0.044456,            0.030823,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.033878,            0.028665,                   0,             0.79729,             0.67273,              0.7395,             0.28396,            0.047083,            0.032513,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.034081,            0.031126,                   0,             0.88004,             0.13387,             0.39592,             0.12559,            0.058424,            0.052597,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.033861,            0.031443,                   0,             0.90894,             0.85455,             0.90745,              0.4561,            0.037574,            0.024771,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.034825,            0.027484,                   0,              0.8256,             0.68863,             0.79116,             0.39801,            0.041138,            0.028894,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.034592,            0.030713,                   0,             0.86913,             0.84535,             0.86977,             0.44401,            0.037564,            0.023445,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.031978,            0.028447,                   0,             0.91378,                 0.8,              0.8916,             0.42215,            0.039309,            0.022997,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.032464,            0.027162,                   0,             0.57868,             0.67273,             0.67087,             0.23574,            0.050013,             0.03463,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.032433,            0.027064,                   0,             0.94911,             0.90909,             0.92575,             0.56661,            0.032155,            0.020916,                   0,            0.005611,            0.005611,            0.005611
                 135,             0.03259,            0.026455,                   0,             0.85981,             0.89214,             0.91447,             0.51549,            0.035363,            0.022182,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.033075,            0.029135,                   0,             0.92134,             0.85455,             0.88457,             0.45256,            0.038298,            0.024368,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.031866,            0.028995,                   0,             0.92507,             0.94545,             0.96013,             0.52057,            0.034155,            0.020515,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.033097,            0.029271,                   0,             0.95485,             0.92727,             0.95592,             0.54123,            0.031532,            0.020247,                   0,            0.005479,            0.005479,            0.005479
