               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.027939,            0.020329,                   0,             0.93725,             0.92727,             0.92604,              0.6429,            0.028413,            0.017736,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.029784,            0.022364,                   0,             0.93305,             0.92727,             0.92056,             0.65103,            0.025912,            0.018099,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.029802,            0.020527,                   0,             0.89506,             0.94545,             0.91351,             0.61693,               0.026,            0.018467,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.027627,            0.021024,                   0,             0.88133,             0.94526,             0.90907,             0.61202,            0.027257,            0.018721,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.029725,            0.021092,                   0,             0.89576,             0.94545,             0.94505,             0.66378,            0.025148,            0.018009,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.029027,            0.021396,                   0,              0.9118,             0.93989,             0.92427,             0.62727,            0.025812,             0.01856,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.02773,            0.021414,                   0,              0.9014,             0.94545,             0.92884,             0.65137,            0.027137,              0.0186,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.029602,            0.022628,                   0,             0.91478,             0.94545,             0.94133,              0.6685,            0.024901,            0.018066,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.027183,            0.021066,                   0,             0.91645,             0.94545,             0.95275,             0.67556,              0.0255,            0.017197,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.028748,            0.020605,                   0,              0.9136,             0.94545,             0.95514,             0.70863,            0.024423,            0.016832,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.027173,            0.018876,                   0,             0.90952,             0.94545,             0.95932,             0.69965,            0.026235,             0.01792,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.028214,            0.022086,                   0,             0.91027,             0.94545,             0.95085,              0.6991,            0.023861,            0.016943,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.026352,            0.021368,                   0,             0.90991,             0.94545,             0.96671,             0.66516,            0.024317,            0.016426,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.026818,            0.020415,                   0,             0.89799,             0.96037,              0.9605,             0.71407,              0.0223,            0.016579,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.025618,            0.019573,                   0,             0.90735,             0.94545,             0.94025,             0.66518,            0.026318,            0.017334,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.025402,            0.019107,                   0,             0.89006,             0.94545,             0.92129,             0.67399,            0.024233,            0.017241,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.025163,            0.019703,                   0,              0.9182,             0.94545,             0.94325,              0.6627,            0.024544,            0.017561,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.024941,            0.020064,                   0,             0.92153,             0.94545,             0.94242,             0.69321,            0.024611,             0.01692,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.025378,            0.019578,                   0,             0.91217,             0.94545,             0.94397,             0.69845,             0.02262,            0.017281,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.025532,            0.020065,                   0,             0.92567,             0.92727,             0.89753,             0.65502,            0.024073,            0.017275,                   0,             0.00736,             0.00736,             0.00736
                  82,             0.02493,            0.018009,                   0,             0.91083,             0.94545,             0.93156,             0.68583,            0.022882,            0.016729,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.024998,              0.0198,                   0,             0.92439,             0.94545,             0.93587,             0.68774,            0.023081,            0.016548,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.025658,            0.017984,                   0,             0.92442,             0.92727,             0.92643,             0.64143,            0.025533,            0.017893,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.024995,            0.019849,                   0,             0.91221,             0.94463,             0.93911,              0.6672,            0.024502,            0.017582,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.023768,             0.02028,                   0,             0.92844,             0.94363,             0.92412,             0.66928,            0.023671,            0.017063,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.024601,            0.017578,                   0,             0.92823,             0.94062,             0.96007,             0.68836,            0.024097,             0.01655,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.026197,            0.019277,                   0,             0.92657,             0.94545,             0.95563,             0.72351,            0.022326,            0.015284,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.023708,            0.018472,                   0,             0.94097,             0.94545,             0.94439,             0.70585,            0.023067,            0.016008,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.025116,            0.019116,                   0,             0.90919,             0.94545,             0.93959,             0.70885,            0.022459,            0.016716,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.024082,            0.017801,                   0,             0.92835,             0.94239,             0.93525,             0.69421,            0.024179,            0.016729,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.023737,            0.019043,                   0,             0.92848,             0.94416,             0.94391,             0.70613,            0.022845,            0.016573,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.023624,            0.018227,                   0,             0.92826,             0.94545,             0.94094,             0.72186,            0.021991,            0.016436,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.024482,            0.020121,                   0,             0.92845,              0.9437,             0.94273,             0.69081,            0.024517,            0.017298,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.023426,            0.017628,                   0,             0.92708,             0.94545,             0.94815,             0.72219,            0.022334,            0.017605,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.021257,            0.019041,                   0,             0.92577,             0.94545,             0.94791,             0.74051,            0.020981,            0.016912,                   0,            0.006865,            0.006865,            0.006865
                  97,             0.02332,            0.019506,                   0,             0.91225,             0.94515,             0.93267,              0.7197,            0.021122,            0.016603,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.021913,            0.018191,                   0,             0.90998,             0.94545,             0.94376,             0.72037,            0.020636,             0.01704,                   0,            0.006799,            0.006799,            0.006799
                  99,             0.02477,            0.016422,                   0,             0.91011,             0.94545,              0.9528,             0.70625,            0.023359,            0.017344,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.022598,            0.016343,                   0,             0.91085,             0.94545,             0.95606,             0.71713,            0.021454,            0.017271,                   0,            0.006733,            0.006733,            0.006733
                 101,             0.02412,            0.020431,                   0,             0.91041,             0.94545,             0.93619,             0.68847,            0.023274,            0.018181,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.02371,            0.018037,                   0,             0.90993,             0.94545,             0.93688,             0.68017,            0.024128,            0.018473,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.024055,            0.018273,                   0,             0.92541,             0.92727,              0.9108,             0.63555,            0.026234,            0.021036,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.022622,            0.017324,                   0,             0.92499,             0.92727,             0.90727,             0.64382,            0.025117,            0.020452,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.023734,             0.01813,                   0,             0.92469,             0.92727,              0.9202,             0.66368,            0.023375,            0.019005,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.021021,            0.017968,                   0,             0.92726,             0.92716,             0.92622,             0.69314,            0.024972,            0.018021,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.022402,            0.018011,                   0,             0.91215,             0.94394,             0.93161,             0.71799,            0.020981,            0.018688,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.021155,            0.017828,                   0,             0.90991,             0.92727,             0.91199,             0.70712,            0.020756,            0.018917,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.022418,             0.01729,                   0,             0.90981,             0.92727,             0.91508,             0.69752,            0.021632,            0.018621,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.020871,            0.017648,                   0,             0.90997,             0.94545,             0.93112,             0.70629,            0.021995,            0.017153,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.023118,            0.018176,                   0,             0.91038,             0.94545,             0.92234,             0.71354,            0.020778,            0.016747,                   0,             0.00637,             0.00637,             0.00637
                 112,             0.02029,            0.018587,                   0,             0.91114,             0.94545,             0.93481,             0.72775,            0.020881,             0.01693,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.021788,            0.018626,                   0,             0.91932,             0.92727,              0.9559,             0.71601,            0.021966,            0.016933,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.021005,            0.017454,                   0,              0.9237,             0.92727,             0.96805,             0.73115,            0.021824,            0.016581,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.020415,             0.01819,                   0,             0.92623,             0.94545,             0.96197,             0.75634,            0.021508,            0.016031,                   0,            0.006238,            0.006238,            0.006238
